VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
references/actamerica/variables/C130/CH4_DryMoleFrac_PICARRO.json,CH4_MixingRatio_PICARRO,ppmv,1,-999999,1,CH4_MixingRatio_PICARRO,ppmv,1,-999999,NULL
references/actamerica/variables/C130/CH4_MoleFraction_PFP.json,CH4_MoleFraction_PFP,ppb,1,-999999,1,CH4_MoleFraction_PFP,ppb,1,-999999,NULL
references/actamerica/variables/C130/CH4C13_MoleFraction_PFP.json,CH4C13_MoleFraction_PFP,permil,1,-999999,1,CH4C13_MoleFraction_PFP,permil,1,-999999,NULL
references/actamerica/variables/C130/CH4C13_MoleFraction_PFP.json,CH4C13_PFP,per mil,1,-999999,1,CH4C13_PFP,per mil,1,-999999,NULL
references/actamerica/variables/C130/CHLF_MoleFraction_PFP.json,CHLF_MoleFraction_PFP,ppt,1,-999999,1,CHLF_MoleFraction_PFP,ppt,1,-999999,NULL
references/actamerica/variables/C130/CO_DryMoleFrac_PICARRO.json,CO_DryMoleFrac_PICARRO,ppm,1,-999999,1,CO_MixingRatio_PICARRO,ppm,1,-999999,NULL
references/actamerica/variables/C130/CO_DryMoleFrac_PICARRO.json,CO_MixingRatio_PICARRO,ppmv,1,-999999,1,CO_MixingRatio_PICARRO,ppmv,1,-999999,NULL
references/actamerica/variables/C130/CO_MoleFraction_PFP.json,CO_MoleFraction_PFP,ppb,1,-999999,1,CO_MoleFraction_PFP,ppb,1,-999999,NULL
references/actamerica/variables/C130/CO2_DryMoleFrac_PICARRO.json,CO2_DryMoleFrac_PICARRO,ppm,1,-999999,1,CO2_MixingRatio_PICARRO,ppm,1,-999999,NULL
references/actamerica/variables/C130/CO2_DryMoleFrac_PICARRO.json,CO2_MixingRatio_PICARRO,ppmv,1,-999999,1,CO2_MixingRatio_PICARRO,ppmv,1,-999999,NULL
references/actamerica/variables/C130/CO2_MoleFraction_PFP.json,CO2_MoleFraction_PFP,ppm,1,-999999,1,CO2_MoleFraction_PFP,ppm,1,-999999,NULL
references/actamerica/variables/C130/CO2C14_MoleFraction_PFP.json,CO2C14_MoleFraction_PFP,permil,1,-999999,1,CO2C14_MoleFraction_PFP,permil,1,-999999,NULL
references/actamerica/variables/C130/CO2C14_MoleFraction_PFP.json,CO2C14_PFP,per mil,1,-999999,1,CO2C14_PFP,per mil,1,-999999,NULL
