VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
NULL,CO2_MoleFraction_PFP,ppm,1.0,-999999.0,1,CO2_MoleFraction_PFP,ppm,1.0,-999999.0,NULL
NULL,F134A_MoleFraction_PFP,ppt,1.0,-999999.0,1,F134A_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H1301_MoleFraction_PFP,ppt,1.0,-999999.0,1,H1301_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,DICL_MoleFraction_PFP,ppt,1.0,-999999.0,1,DICL_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CF4_MoleFraction_PFP,ppt,1.0,-999999.0,1,CF4_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,IAS,m/s,1.0,-999999.0,1,IAS,m/s,1.0,-999999.0,NULL
NULL,INDEX,none,1.0,-999999.0,1,INDEX,none,1.0,-999999.0,NULL
NULL,C2H6_MoleFraction_PFP,ppt,1.0,-999999.0,1,C2H6_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,F11B_MoleFraction_PFP,ppt,1.0,-999999.0,1,F11B_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CO_MoleFraction_PFP,ppb,1.0,-999999.0,1,CO_MoleFraction_PFP,ppb,1.0,-999999.0,NULL
NULL,HF133a_MoleFraction_PFP,ppt,1.0,-999999.0,1,HF133a_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_SatVaporPressureIce,hPa,1.0,-999999.0,1,H2O_SatVaporPressureIce,hPa,1.0,-999999.0,NULL
NULL,N2O_MoleFraction_PFP,ppb,1.0,-999999.0,1,N2O_MoleFraction_PFP,ppb,1.0,-999999.0,NULL
NULL,TRK,degs,1.0,-999999.0,1,TRK,degs,1.0,-999999.0,NULL
NULL,PCE_MoleFraction_PFP,ppt,1.0,-999999.0,1,PCE_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CHLF_MoleFraction_PFP,ppt,1.0,-999999.0,1,CHLF_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CO2_MixingRatio_PICARRO,ppmv,1.0,-999999.0,1,CO2_MixingRatio_PICARRO,ppmv,1.0,-999999.0,NULL
NULL,SF6_CCGG_MoleFraction_PFP,ppt,1.0,-999999.0,1,SF6_CCGG_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,PotentialTemp,K,1.0,-999999.0,1,PotentialTemp,K,1.0,-999999.0,NULL
NULL,RHw_PICARRO,%,1.0,-999999.0,1,RHw_PICARRO,%,1.0,-999999.0,NULL
NULL,WNS,m s-1,1.0,-999999.0,1,WNS,m s-1,1.0,-999999.0,NULL
NULL,LONGITUDE,degs,1.0,-999999.0,1,LONGITUDE,degs,1.0,-999999.0,NULL
NULL,C2H2_MoleFraction_PFP,ppt,1.0,-999999.0,1,C2H2_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,GroundHeight-AMSL_CPL,km,1.0,-999999.0,1,GroundHeight-AMSL_CPL,km,1.0,-999999.0,NULL
